level_type,entry_level,entry_time,exit_time,tp,sl,outcome,pnl,pending_id,order_created
resistance,71.8,2024-10-25 11:29:00,2024-10-25 11:29:00,71.64,71.96,tp,8.815999999998894,84,2024-10-25 11:28:00
support,71.53,2024-10-25 11:31:00,2024-10-25 11:31:00,71.59,71.47,tp,0.4319999999997606,82,2024-10-25 11:28:00
support,69.75,2024-10-27 18:00:00,2024-10-27 18:00:00,69.81,69.69,sl,-5.408000000000698,72,2024-10-24 12:08:00
support,69.87,2024-10-27 18:00:00,2024-10-27 18:00:00,70.0,69.74000000000001,sl,-4.176000000000158,75,2024-10-25 03:50:00
support,70.13,2024-10-27 18:00:00,2024-10-27 18:00:00,70.83,69.42999999999999,sl,-63.9840000000012,83,2024-10-25 11:28:00
support,66.92,2024-10-29 11:25:00,2024-10-29 12:33:00,67.27,66.57000000000001,tp,26.92799999999852,85,2024-10-29 03:18:00
resistance,69.21,2024-10-31 06:29:00,2024-10-31 06:29:00,69.05,69.36999999999999,tp,7.307999999999083,87,2024-10-30 11:19:00
resistance,69.17,2024-10-31 06:29:00,2024-10-31 06:29:00,69.02,69.32000000000001,tp,8.055999999999585,88,2024-10-31 03:01:00
resistance,69.21,2024-10-31 08:15:00,2024-10-31 08:15:00,69.19,69.22999999999999,tp,-0.5040000000003175,91,2024-10-31 06:29:00
support,69.64,2024-10-31 11:08:00,2024-10-31 11:08:00,69.65,69.63,sl,-0.43200000000013006,93,2024-10-31 11:07:00
support,69.65,2024-10-31 11:27:00,2024-10-31 11:27:00,69.7,69.60000000000001,tp,0.19199999999955253,94,2024-10-31 11:25:00
resistance,69.93,2024-10-31 14:33:00,2024-10-31 14:33:00,69.57000000000001,70.29,tp,18.011999999999333,90,2024-10-31 06:29:00
resistance,70.35,2024-10-31 14:34:00,2024-10-31 14:34:00,70.14,70.55999999999999,tp,9.129999999999043,97,2024-10-31 14:33:00
resistance,70.55,2024-10-31 14:35:00,2024-10-31 14:35:00,70.45,70.64999999999999,tp,2.9679999999991082,95,2024-10-31 14:33:00
resistance,70.73,2024-10-31 15:20:00,2024-10-31 15:20:00,70.64,70.82000000000001,tp,1.6099999999997294,98,2024-10-31 14:35:00
